,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
172,3.22305E+17,11/4/2013 19:07,,FALSE,FALSE,,0,0,0,makan biskut kering pengisi perut di kala magrib. #opis  #sapura,/nara_aimi/status/322304929668669440,105715072,nara_aimi
173,3.23712E+17,15/4/2013 16:20,,FALSE,FALSE,,0,0,0,class of CPT. Learn from basic. #sapura,/nara_aimi/status/323712304627712000,105715072,nara_aimi
174,3.24635E+17,18/4/2013 5:28,,FALSE,FALSE,,0,0,0,Se apura nivel: me queda mas de medio tema y llevo media hora potando #sapura  #sapura  #sapura,/RunoCruz/status/324635437094273026,626067036,RunoCruz
175,3.25262E+17,19/4/2013 22:58,,FALSE,FALSE,,0,0,0,Sapura 's team meeting among themselves!!! #sapurahockey  #sapura  #hockey  #teammeeting  #team  #gather …  http:// instagram.com/p/YSl7WuC8ZM/  ,/dianasalwa/status/325262079734992896,65132426,dianasalwa
176,3.25408E+17,20/4/2013 8:39,,FALSE,FALSE,,0,2,0,"Rise and shine,, Sapura 's team pool session #sapura  #sapurahockey  #pool  #penang  #hockey  #vistana  @…  http:// instagram.com/p/YToP3VC8QJ/  ",/dianasalwa/status/325408454829289472,65132426,dianasalwa
177,3.25821E+17,21/4/2013 11:57,,FALSE,FALSE,,0,0,0,# Mines  #sapura  #hidayahmaju   http:// instagram.com/p/YWjvrzl-1r/  ,/mohammadazfarr/status/325820577153699840,1133134766,mohammadazfarr
178,3.26707E+17,23/4/2013 22:39,,FALSE,FALSE,,0,0,0,# yard  #sapura  #kencana  #petroleum  #oil  #gas  #onshore  #mopu  #fpso   http:// instagram.com/p/Yc2piIpgNM/  ,/ayol_azhar/status/326706862542159873,446613524,ayol_azhar
179,3.26921E+17,24/4/2013 12:50,,FALSE,FALSE,,0,0,0,# sapura  #kencana  #petroleum  #oil  #gas  #oge  #onshore  #yard  #mopu  #fpso  #subsea   http:// instagram.com/p/YeYBqgJgLe/  ,/ayol_azhar/status/326920938543263745,446613524,ayol_azhar
180,3.2699E+17,24/4/2013 17:25,,FALSE,FALSE,,0,0,0,Ya Allah.. Permudahkanlah urusan kami. Reda kan lah hujan ni ya Allah.. Muliakan lah urusan kami untuk Mu.. Amin #sapura  #soupkitchen,/nara_aimi/status/326990349425836032,105715072,nara_aimi
181,3.27696E+17,26/4/2013 16:10,,FALSE,FALSE,,0,0,0,Waiting for the team meeting #sapura  #hockey   http:// instagram.com/p/Yj4SFFQt4u/  ,/Jaawee/status/327696097034260480,333497676,Jaawee
